epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1472.86,0.81081,0.39102,0.78577,0.82382,0.66286,0.76613,0.50863,0.85737,0.43044,0.79155,0.000742625,0.000742625,0.000742625
43,1512.23,0.83074,0.40308,0.78527,0.93989,0.72938,0.79212,0.54601,0.79264,0.41319,0.78869,0.00073025,0.00073025,0.00073025
44,1547.85,0.80634,0.38846,0.78342,0.83042,0.71495,0.78173,0.54205,0.81703,0.43491,0.79049,0.000717875,0.000717875,0.000717875
45,1584.55,0.81804,0.38934,0.78345,0.85926,0.72173,0.80501,0.5511,0.79167,0.39779,0.7895,0.0007055,0.0007055,0.0007055
46,1620.41,0.79978,0.37791,0.78659,0.91914,0.74468,0.81579,0.54704,0.81058,0.40214,0.789,0.000693125,0.000693125,0.000693125
47,1656.56,0.78975,0.37303,0.7826,0.92269,0.74589,0.81239,0.58327,0.75098,0.3863,0.78649,0.00068075,0.00068075,0.00068075
48,1698.31,0.78485,0.36892,0.78181,0.87169,0.75004,0.81385,0.55994,0.78917,0.40478,0.78655,0.000668375,0.000668375,0.000668375
49,1734.11,0.79076,0.37462,0.78427,0.88644,0.71105,0.80081,0.51794,0.85907,0.41542,0.79394,0.000656,0.000656,0.000656
50,1770.15,0.78111,0.37169,0.78283,0.95255,0.73966,0.81516,0.55432,0.79703,0.39443,0.78964,0.000643625,0.000643625,0.000643625
51,1806.17,0.74858,0.3553,0.7822,0.88689,0.76514,0.81052,0.56149,0.80315,0.39802,0.78898,0.00063125,0.00063125,0.00063125
52,1842.01,0.78723,0.37175,0.78338,0.89287,0.7316,0.80283,0.57244,0.80801,0.39978,0.78976,0.000618875,0.000618875,0.000618875
53,1878.3,0.75738,0.35786,0.78029,0.92031,0.7481,0.81527,0.55496,0.79877,0.3954,0.78669,0.0006065,0.0006065,0.0006065
